,klant,eigenaar,product_soort,locatie,kwaliteit,klantaanduiding,batch_nummer,batch_volg_nummer,kl_lengte,klant_breedte,klant_dikte,lm_lengte_,lm_breedte,lm_dikte,administratief_gewicht,aantal_stuks,totaal_gealloceerd,coil_nummer_leverancier,klantreferentie,attest_nummer,eerste_charge_nummer,verkoop_order_nummer,omschrijving,binnendiam_coil,buitendiam_coil,binnenbreedte_coil,buitenbreedte_coil,tekst,aanvoerdatum,laatste_transactie,werkbonnummer,bewerking,STATUS,lijst_van_bewerk,werkbonnummer2,bewerking3,STATUS4,lijst_van_bewerk5,laadlijstnummer,geolied,gebeitst,bezoomd,materiaal_status,afroep_referentie,leverdatum,afleveradres,verpakking,Gestempeld,a_nummer,gekoppeld_aan_afroep,bewerking_referentie,coilnummer_leverancier
0,Sarah Spencer,William Hamilton,AFVST,ADMI,HKW  ,S355J2+N,AFVST,0.0,0.0,0.0,1,0.0,0.0,1,"100627,21",0,368415,,3,973082380,1,462123567,4740,0.0,0.0,0.0,0.0,6,2015-09-16,2020-06-05,263131753,,,,2,DECOILEN,3,DE,302,0.0,1.0,0.0,V,BEZOOM 6-6-20,2020-06-08,"9554 Alexander Unions
East Robertshire, ID 36520",onbekend,,258,,863,238588081
1,Timothy Bullock,Zachary Rivera,PLAAT,LC10,OV22 ,AHNL. S235                    ,B0223,1.0,3000.0,1500.0,15,3000.0,1516.0,15,"2142,11",4,4,4195038,97204,3,1319262,320292,33,0.0,0.0,0.0,0.0,2942,2014-06-05,2020-01-23,93145,,,,56434237,DECOILEN,3,DE,5812454,0.0,0.0,0.0,V,KLOCKNER,2014-11-18,"09196 Rivera Brook Suite 514
Walkerbury, RI 35357",PACKA,0.0,285,,5797581,3
2,Cory Roy,Margaret Mcbride,PLAAT,LC10,OV22 ,AHNL. S235                    ,B0223,2.0,3000.0,1500.0,15,3000.0,1516.0,15,"2142,11",4,4,4195038,0,16,372867042,7729465,8052225,0.0,0.0,0.0,0.0,65600,2014-06-05,2019-12-16,830729364,,,,816,DECOILEN,3,DE,4636,0.0,0.0,0.0,V,KLOCKNER,2014-11-18,"551 Landry Lights
New Daniel, DE 03065",PACKA,0.0,3,,335213,28
3,Olivia Wallace,David Nguyen,PLAAT,LB05,S355M,S355MC                        ,B4528,3.0,6000.0,1800.0,8,6015.0,1830.0,8,"2131,24",3,,5889086,716841180,479624922,75857,1471326,569,740.0,1190.0,1827.0,1827.0,2,2020-01-14,2020-01-14,686,,,,7025,DECOILEN,3,DE,569733,0.0,0.0,0.0,V,,,"169 Brown Springs Apt. 677
Kennethmouth, AK 04154",PACKA,1.0,90,,435,8081
4,Michael Perez,Amber Chambers,PLAAT,LB05,S355M,S355MC                        ,B4528,6.0,6000.0,1800.0,8,6015.0,1830.0,8,"1956,86","2,75",,5889086,943,977266,960,4791843,12887,740.0,1190.0,1827.0,1827.0,1464702,2020-01-14,2020-05-13,5676199,,,,81301010,DECOILEN,3,DE,589717502,0.0,0.0,0.0,V,,,"9356 Reeves Stravenue Apt. 137
Gallowaymouth, IN 50737",PACKA,1.0,89,,8357332,21914
5,Julie Miller,Krista Keller,PLAAT,LA08,S420M,S420MC                        ,B4531,9.0,3000.0,1500.0,3,3000.0,1517.0,"3,02","1186,8",11,0,5937036,81484,3760,444736,70168576,90,0.0,0.0,0.0,0.0,140,2015-06-11,2019-12-16,96,,,,884195,DECOILEN,3,DE,704519,0.0,0.0,0.0,,,,"341 Brandy Pass Apt. 980
West Cynthiamouth, OR 58025",PACKA,1.0,6153778,,1,303
6,Keith Perry,Jacob Harris,COILS,MGZN,E690T,E 690 TM                      ,B5706,0.0,0.0,1000.0,6,0.0,1002.0,"5,95",19420,1,19420,1748184,528237567,87904,6040541,423420,2,745.0,1930.0,1002.0,1002.0,359868583,2015-09-11,2018-07-02,0,,,,87102396,,,,38449,0.0,0.0,0.0,,pendel SLE 31-01,2018-01-30,"28469 Chen Crest
South Laura, MT 87941",onbekend,,845,,8,10974
7,Carlos Smith,Timothy Clark,COILS,MGZN,OV22 ,ov DD11                      ,B6107,0.0,0.0,800.0,"5,7",0.0,810.0,"5,77",13400,1,13400,1712162,7992513,293160800,418959728,23492255,1,735.0,1800.0,815.0,815.0,9691520,2015-08-26,2019-08-12,57,,,,65,,,,6025,0.0,0.0,0.0,,pendel SLE 05-02,2018-02-02,"40849 Meyer Views Suite 232
West Nathanielfort, CA 45079",onbekend,,7497,135866/AM,2546240,90
8,Colleen Elliott,Samantha Johnston,HSLA2,MGZN,S500M,S500MC                        ,B6257,0.0,0.0,1804.0,"6,86",0.0,1795.0,"6,71",30520,1,0,1279017,71,5,125,61669,175454,740.0,1818.0,1795.0,1795.0,361710079,2015-08-19,2019-11-26,88,,,,33,,,,1721,0.0,0.0,0.0,,,,"63836 Tracy Fork Suite 456
South Johnport, MH 41609",onbekend,,98099963,,4083853,8091
9,Brandon Brown,Mark Peterson,PLAAT,LB12,S420M,S420MC,B6405,15.0,4015.0,2000.0,15,4015.0,2005.0,"15,05","951,06",1,0,1841035,4,87659713,67249,6,1098,0.0,0.0,0.0,0.0,3,2015-12-04,2019-12-16,29129,SPLITSEN,3,SP,701,SPLITSEN,3,SP,307367403,0.0,0.0,0.0,,,,"5909 Carl Mews Suite 642
Powellstad, GU 64264",PACKA,1.0,15,,332,353
10,Cynthia Smith,Mary Hall,PLAAT,LC48,S420M,S420M,B6405,16.0,1000.0,2000.0,15,1000.0,2005.0,"15,05","947,5",4,0,1841035,916,7848,3897,65332,1,0.0,0.0,0.0,0.0,5,2015-12-04,2019-12-16,252269,SPLITSEN,3,SP,598819,SPLITSEN,3,SP,4682,0.0,0.0,0.0,,,,"140 Lori Row Suite 346
Vincentville, VA 97987",PACKA,1.0,891473534,,33972,72
11,Jimmy Mason,Melissa Mckinney,PLAAT,LC40,S355 ,S355MC           ,B6526,9.0,2500.0,1250.0,5,2500.0,1270.0,"4,99","1596,18",13,,1855110,531078,75,70917,474236,54549,,,,,398,2016-05-10,2019-12-16,9,,,,4432506,DECOILEN,3,DE,6176,0.0,0.0,0.0,,,,"3027 Krause Centers
Daniellemouth, MD 95554",PACKA,1.0,1,,43297457,29898
12,Emily Owen PhD,Melissa Ramirez,PLAAT,NL13,S420M,S420MC GG.,B7512,9.0,2500.0,1250.0,4,2500.0,1250.0,"4,1","2615,03",26,"2615,03",754142,45964561,5,0,776,11056,610.0,1857.0,1250.0,1250.0,996206,2017-08-04,2019-12-16,2,VERPAKKEN,3,DE+VP,410719757,VERPAKKEN,3,DE+VP,110317317,1.0,1.0,0.0,,PS - 000547,2017-08-04,"9409 Bradley Village
Lake Stephaniebury, UT 98067",PACKD,0.0,424,,3,682
13,Leah Kemp,Kayla Cohen,PLAAT,LC38,S315M,S355MC,C1469,18.0,2500.0,1250.0,6,2500.0,1255.0,6,"739,8",5,,3344130,18,10,626685073,71650,6,740.0,1760.0,1255.0,1255.0,6220,2016-08-25,2019-12-16,35,,,,4,DECOILEN,3,DE,3090544,0.0,0.0,0.0,,,,"26212 Louis Meadow
Murphyhaven, SD 40847",PACKA,1.0,594,,990,5545
14,Victoria Martinez,Scott Guzman,COILS,G026,S355M,ov >=S355,C2259,0.0,0.0,1155.0,5,0.0,1155.0,"4,88","14052,18",1,24180,3600141,8757798,927109359,44,8812,66916,730.0,1873.0,1155.0,1155.0,8,2016-09-15,2020-05-15,6713055,DECOILEN,3,DE,56991855,,,,1188,0.0,0.0,0.0,,pendel SLE 31-01,2018-01-30,"PSC 7830, Box 1999
APO AA 66587",onbekend,,79,70200174,3680,762
15,Meagan Brooks,Christian Davis,PLAAT,NL13,S355M,S355MC GG,C2423,6.0,2500.0,1250.0,10,2500.0,1262.0,"9,84","488,36",2,,3584068,0,50343,221427366,0,68996,740.0,1510.0,1262.0,1262.0,921552,2017-08-11,2020-02-17,42,VERPAKKEN,3,BE+VP,130548669,VERPAKKEN,3,BE+VP,483023,1.0,1.0,0.0,V,,,"4039 Susan Falls Suite 664
Lake Katelyn, MA 44257",PACKH,0.0,67139509,,19,6584175
16,John Gates,Jason Mitchell,PLAAT,LC34,S500M,S420MC,C3221,8.0,2500.0,1250.0,10,2500.0,1260.0,10,"2539,97",10,,3747073,482249,1,8,93340748,19344,735.0,1830.0,1260.0,1260.0,22,2017-06-08,2019-12-16,67787639,,,,8,DECOILEN,3,DE,8858910,0.0,0.0,0.0,,,,"18373 Osborn Groves
Ashleyton, GA 08163",PACKA,1.0,159525,,6,123664
17,Patrick Harmon,John Garcia,PLAAT,LC35,S500M,S420MC,C3221,9.0,2500.0,1250.0,10,2500.0,1260.0,10,"762,02",3,,3747073,90,34875940,8,0,794320,735.0,1830.0,1260.0,1260.0,553408,2017-06-08,2020-04-29,15432045,,,,87854,DECOILEN,3,DE,135783,0.0,0.0,0.0,,,,"09380 Christine Passage Apt. 290
Port Claudiaview, FM 98485",PACKA,1.0,49539529,,5533,625525
18,Lacey Cooper,William Brewer,COILS,MGZN,22/37,ov DD11/S235,C3951,0.0,0.0,1015.0,2,0.0,1033.0,"1,98",21180,1,,4116037,301680,356611074,971835677,4,712420,740.0,1990.0,1033.0,1033.0,92248,2017-01-12,2017-01-16,70,,,,74912,,,,840,0.0,0.0,0.0,,,,"527 Burnett Pike Suite 652
Stephanieberg, IL 55210",onbekend,,0,,52483165,677812039
19,Noah Jordan,Jeffrey Baker,PLAAT,LC57,OV22,S235JR,C4166,6.0,2400.0,780.0,"5,7",2400.0,780.0,"5,7","1792,53",21,0,3971128,221334,649703,14,9,16,740.0,2085.0,809.0,809.0,978867661,2017-02-15,2020-05-07,688,,,,674,DECOILEN,3,DE,23561,0.0,0.0,1.0,X,,,"3448 Jones Mountain
Nunezchester, IA 43140",PACKA,1.0,3,,47061,6292
20,Patrick Valdez,Jennifer Smith,PLAAT,LC57,OV22,S235JR,C4166,7.0,2400.0,780.0,"5,7",2400.0,780.0,"5,7","938,95",11,0,3971128,3297815,49249,671,69,0,740.0,2085.0,809.0,809.0,874,2017-02-15,2020-05-07,37,,,,57529757,DECOILEN,3,DE,745176,0.0,0.0,1.0,X,,,"0291 Laurie Port
South Kristiborough, TX 54664",PACKA,1.0,9009,,1,1873631
21,Steven Brown,Jeremiah Franco,PLAAT,LC39,S355M,S355MC,C4790,13.0,2500.0,1250.0,5,2500.0,1257.0,"4,95","862,26",7,,4120077,2397,9,7,5303,6315,740.0,1945.0,1257.0,1257.0,438,2017-03-10,2019-12-16,1359,,,,1,DECOILEN,3,DE,995374,0.0,0.0,0.0,,,,"40636 David Lake
North Meredithland, CT 08909",PACKA,1.0,8996,,438034,4
22,Jennifer Campbell,Lawrence Hampton,COILS,MGZN,S355M,ov >=S355,C5249,0.0,0.0,1109.0,5,0.0,1115.0,"5,1",17920,1,,4114124,822701,297,342,3829255,125745384,740.0,1795.0,1115.0,1115.0,888634,2017-01-12,2017-01-16,3,,,,442,,,,9744,0.0,0.0,0.0,,,,"437 Lyons Underpass Suite 473
Loribury, UT 57305",onbekend,,30,,557,382346
23,Jose Fuller,Kimberly Ford,COILS,MGZN,S235J,S235J,C5385,0.0,0.0,1100.0,5,0.0,1110.0,"5,06","20690,04",1,"20690,04",4112010,77,3374576,7,73447140,75740658,740.0,2020.0,1110.0,1110.0,953,2017-01-12,2019-03-21,26107,DECOILEN,3,DE,111,,,,30873664,0.0,0.0,0.0,,20190620PH1001,2019-06-21,"30188 Cory Island
East James, PA 40959",onbekend,,2264,,5,605163
24,Laura Wilson,Beth Scott,COILS,MGZN,S235,S235,C6124,0.0,0.0,1390.0,"3,95",0.0,1410.0,"3,9","13071,24",1,0,4237059,739419,365741265,7050939,1513720,98759,740.0,1445.0,1410.0,1410.0,563,2017-02-08,2018-09-10,92235,DECOILEN,3,DE,282219460,,,,230671404,0.0,0.0,0.0,,,,"5592 Short Ville
Annetteside, SC 11047",onbekend,,5516561,,56244,396
25,Kevin Mcdowell,Alicia Baker,COILS,MGZN,S235,S235,C6125,0.0,0.0,1390.0,"3,95",0.0,1413.0,"3,95",27780,1,27780,4237069,5,434177885,509442,93223,802,740.0,1950.0,1413.0,1413.0,8329,2017-02-08,2017-02-08,205994876,,,,1702,,,,558028860,0.0,0.0,0.0,,20190620PH1001,2019-06-21,"052 Kaitlyn Bypass Suite 879
Joshuaport, AK 47525",onbekend,,4676,,9720989,5930
26,Erica Martin,Christopher Clark,COILS,MGZN,S235,S235,C6126,0.0,0.0,1390.0,"3,95",0.0,1409.0,"3,93",27800,1,,4237058,89086943,74,61275,2,311,740.0,1960.0,1409.0,1409.0,349,2017-02-08,2017-02-08,710724,,,,292510407,,,,64348,0.0,0.0,0.0,,,,"91102 Suzanne Mount Suite 726
South Jordanfort, MA 44293",onbekend,,0,,27850,762447736
27,Angel Harper,Alexis Cabrera,COILS,MGZN,S235,S235,C6163,0.0,0.0,1390.0,"3,95",0.0,1401.0,"3,92",27665,1,27665,4248004,6062,8105,37261,21833566,256344,740.0,1950.0,1402.0,1402.0,657083592,2017-02-17,2017-02-17,119,,,,906492,,,,377,0.0,0.0,0.0,,20190620PH1001,2019-06-21,"976 Paul Terrace
Port Sharonhaven, PA 85323",onbekend,,2848,,8573480,602
28,Nathan Johnson,George Fields,COILS,MGZN,S235,S235,C6164,0.0,0.0,1390.0,"3,95",0.0,1407.0,"3,92",27685,1,,4245045,658,46,24106272,365838352,961,740.0,1955.0,1407.0,1407.0,88,2017-02-17,2017-02-17,989,,,,27143,,,,575,0.0,0.0,0.0,,,,"20385 Jones Motorway
Pierceborough, PR 42490",onbekend,,244132962,,43382123,4972
29,Carol Murillo,Laura Davis,COILS,MGZN,S235,S235,C6353,0.0,0.0,1390.0,"3,95",0.0,1393.0,"3,9",27700,1,,4322077,16,7481274,51750,38405616,1521035,740.0,1955.0,1393.0,1393.0,87,2017-02-22,2017-02-22,17046,,,,96864,,,,533832598,0.0,0.0,0.0,,,,"52795 Wright Fort
Santosfort, TN 64928",onbekend,,562,,949,0
30,Philip Phillips,Kellie Logan,PLAAT,LA23,S235,S235JR (858740),C6390,10.0,2488.0,1636.0,3,2488.0,1636.0,"3,03","2407,03",25,,4568016,87416,77,329,82861064,52327607,725.0,1825.0,1680.0,1680.0,614,2017-11-28,2020-03-12,1,,,,765,DECOILEN,3,DE,96404920,0.0,0.0,1.0,,,,"036 Nelson Branch Apt. 312
West Theresa, CO 28633",PACKA,1.0,199013,,238779698,721
31,David Montoya,Arthur Smith,PLAAT,LA23,S235,S235JR (858740),C6390,11.0,2488.0,1636.0,3,2488.0,1636.0,"3,03","2407,03",25,,4568016,393209014,382368,529,98441056,2357,725.0,1825.0,1680.0,1680.0,3919020,2017-11-28,2020-03-12,86,,,,357880,DECOILEN,3,DE,6,0.0,0.0,1.0,,,,"142 Cline Branch Suite 057
North Latoya, CA 46686",PACKA,1.0,5053567,,1473,8930
32,Logan Morgan,Justin Smith,PLAAT,LA23,S235,S235JR (858740),C6390,12.0,2488.0,1636.0,3,2488.0,1636.0,"3,03","1155,32",12,,4568016,5937,46513430,281689206,968,77,725.0,1825.0,1680.0,1680.0,48,2017-11-28,2020-03-12,6438580,,,,896,DECOILEN,3,DE,7,0.0,0.0,1.0,,,,"0943 Olivia Fort Suite 529
Lake Paulastad, RI 57194",PACKA,1.0,1969691,,4494956,311
